Fri May 07 2021 17:20:34 GMT-0700 (Pacific Daylight Time)0, 50, 50 to
60, 54, 100 to
60, 54, 100 to
60, 54, 100 to
60, 54, 100 to
60, 54, 100 to
60, 54, 100 to
60, 54, 100 to
60, 54, 100 to
60, 54, 100 to
60, 54, 100 to
60, 54, 100 to
60, 54, 100 to
60, 54, 100 to
60, 54, 100 to
60, 54, 100 to
60, 54, 100 to
60, 54, 100 to
60, 54, 100 to
60, 54, 100 to
60, 54, 100 to
60, 54, 100 to
60, 54, 100 to
60, 54, 100 to
60, 54, 100 to
60, 54, 100 to
60, 54, 100 to
60, 54, 100 to
60, 54, 100 to
60, 54, 100 to
60, 54, 100 to
60, 54, 100 to
60, 54, 100 to
60, 54, 100 to
60, 54, 100 to
60, 54, 100 to
60, 55, 100 to
60, 55, 100 to
60, 55, 100 to
60, 55, 100 to
60, 55, 100 to
60, 55, 100 to
60, 55, 100 to
60, 54, 100 to
60, 53, 100 to
60, 52, 100 to
60, 51, 100 to
60, 51, 100 to
60, 50, 100 to
60, 50, 100 to
60, 49, 100 to
60, 46, 100 to
60, 42, 100 to
60, 37, 100 to
60, 33, 100 to
60, 31, 100 to
60, 31, 100 to
60, 31, 100 to
60, 31, 100 to
60, 31, 100 to
60, 30, 100 to
60, 27, 100 to
60, 23, 100 to
60, 18, 100 to
60, 12, 100 to
60, 5, 100 to
60, 3, 100 to
60, 3, 100 to
60, 3, 100 to
60, 3, 100 to
60, 3, 100 to
60, 3, 100 to
60, 3, 100 to
60, 3, 100 to
60, 3, 100 to
60, 4, 100 to
60, 5, 100 to
60, 8, 100 to
60, 12, 100 to
60, 18, 100 to
60, 27, 100 to
60, 37, 100 to
60, 46, 100 to
60, 52, 100 to
60, 59, 100 to
60, 66, 100 to
60, 74, 100 to
60, 81, 100 to
60, 85, 100 to
60, 86, 100 to
60, 86, 100 to
60, 86, 100 to
60, 87, 100 to
60, 88, 100 to
60, 90, 100 to
60, 92, 100 to
60, 93, 100 to
60, 94, 100 to
60, 95, 100 to
60, 96, 100 to
60, 96, 100 to
60, 96, 100 to
60, 97, 100 to
60, 97, 100 to
60, 97, 100 to
60, 96, 100 to
60, 94, 100 to
60, 89, 100 to
60, 79, 100 to
60, 67, 100 to
60, 57, 100 to
60, 54, 100 to
60, 54, 100 to
60, 54, 100 to
60, 54, 100 to
60, 54, 100 to
60, 54, 100 to
60, 54, 100 to
60, 54, 100 to
60, 54, 100 to
60, 54, 100 to
60, 54, 100 to
60, 54, 100 to
60, 54, 100 to
60, 54, 100 to
60, 46, 100 to
60, 46, 100 to
60, 46, 100 to
60, 46, 100 to
60, 46, 100 to
60, 46, 100 to
60, 46, 100 to
60, 46, 100 to
60, 46, 100 to
60, 46, 100 to
60, 46, 100 to
60, 46, 100 to
60, 46, 100 to
60, 46, 100 to
60, 46, 100 to
60, 46, 100 to
60, 46, 100 to
60, 46, 100 to
60, 46, 100 to
60, 46, 100 to
60, 46, 100 to
60, 46, 100 to
60, 46, 100 to
60, 46, 100 to
60, 46, 100 to
60, 46, 100 to
60, 46, 100 to
60, 46, 100 to
60, 46, 100 to
60, 46, 100 to
60, 46, 100 to
60, 46, 100 to
60, 46, 100 to
60, 46, 100 to
60, 46, 100 to
60, 46, 100 to
60, 46, 100 to
60, 46, 100 to
60, 46, 49 to
60, 46, 49 to
60, 46, 49 to
60, 46, 49 to
60, 46, 49 to
60, 46, 49 to
60, 46, 49 to
60, 46, 49 to
60, 46, 49 to
60, 46, 49 to
60, 46, 49 to
60, 46, 49 to
60, 46, 49 to
60, 46, 49 to
60, 46, 49 to
60, 46, 49 to
60, 46, 49 to
60, 46, 49 to
60, 46, 49 to
60, 46, 49 to
60, 46, 49 to
60, 46, 49 to
60, 46, 49 to
60, 46, 49 to
60, 46, 49 to
60, 46, 49 to
60, 46, 49 to
60, 46, 49 to
60, 46, 49 to
60, 46, 49 to
60, 46, 33 to
60, 46, 33 to
60, 46, 32 to
60, 46, 32 to
60, 46, 31 to
60, 46, 31 to
60, 46, 31 to
60, 46, 31 to
60, 46, 31 to
60, 46, 31 to
60, 46, 31 to
60, 46, 31 to
60, 46, 17 to
60, 46, 17 to
60, 46, 17 to
60, 46, 17 to
60, 46, 17 to
60, 46, 17 to
60, 46, 17 to
60, 46, 17 to
60, 46, 17 to
60, 46, 17 to
60, 46, 17 to
60, 46, 17 to
60, 46, 17 to
60, 46, 17 to
60, 46, 17 to
60, 46, 17 to
60, 46, 17 to
60, 46, 17 to
60, 46, 17 to
60, 46, 17 to
60, 46, 17 to
60, 46, 17 to
60, 46, 17 to
60, 46, 17 to
60, 46, 17 to
60, 46, 17 to
60, 46, 17 to
60, 46, 17 to
60, 46, 17 to
60, 46, 17 to
60, 46, 17 to
60, 46, 17 to
60, 46, 17 to
60, 46, 17 to
60, 46, 17 to
60, 46, 17 to
60, 46, 17 to
60, 46, 17 to
60, 67, 17 to
60, 67, 17 to
60, 67, 17 to
60, 67, 17 to
60, 67, 17 to
60, 67, 17 to
60, 67, 17 to
60, 67, 17 to
60, 67, 17 to
60, 67, 17 to
60, 67, 17 to
60, 67, 17 to
60, 67, 17 to
60, 67, 17 to
60, 67, 17 to
60, 67, 17 to
60, 67, 17 to
60, 67, 17 to
60, 67, 17 to
60, 67, 17 to
60, 67, 17 to
60, 67, 17 to
60, 77, 17 to
60, 78, 17 to
60, 79, 17 to
60, 80, 17 to
60, 80, 17 to
60, 81, 17 to
60, 81, 17 to
60, 81, 17 to
60, 81, 17 to
60, 81, 17 to
60, 81, 17 to
60, 81, 17 to
60, 81, 17 to
60, 81, 17 to
60, 81, 17 to
60, 81, 17 to
60, 81, 17 to
60, 81, 17 to
60, 81, 17 to
60, 81, 17 to
60, 81, 58 to
60, 81, 58 to
60, 81, 58 to
60, 81, 58 to
60, 81, 58 to
60, 81, 59 to
60, 81, 59 to
60, 81, 59 to
60, 81, 59 to
60, 81, 59 to
60, 81, 59 to
60, 81, 59 to
60, 81, 59 to
60, 81, 59 to
60, 81, 59 to
60, 81, 59 to
60, 81, 59 to
60, 81, 59 to
60, 81, 59 to
60, 81, 59 to
60, 81, 59 to
60, 81, 59 to
60, 81, 59 to
60, 81, 67 to
60, 81, 67 to
60, 81, 68 to
60, 81, 70 to
60, 81, 72 to
60, 81, 75 to
60, 81, 77 to
60, 81, 79 to
60, 81, 81 to
60, 81, 83 to
60, 81, 86 to
60, 81, 88 to
60, 81, 90 to
60, 81, 92 to
60, 81, 92 to
60, 81, 92 to
60, 81, 92 to
60, 81, 92 to
60, 81, 92 to
60, 81, 92 to
60, 81, 93 to
60, 81, 93 to
60, 81, 93 to
60, 81, 94 to
60, 81, 94 to
60, 81, 94 to
60, 81, 94 to
60, 81, 94 to
60, 81, 94 to
60, 81, 94 to
60, 81, 95 to
60, 81, 96 to
60, 81, 98 to
60, 81, 99 to
60, 81, 99 to
60, 81, 99 to
60, 81, 100 to
60, 81, 100 to
60, 81, 100 to
60, 81, 100 to
60, 81, 100 to
60, 81, 100 to
60, 81, 100 to
60, 81, 100 to
60, 81, 100 to
60, 81, 100 to
60, 81, 100 to
60, 81, 100 to
60, 81, 100 to
60, 81, 100 to
60, 81, 100 to
60, 81, 100 to
60, 81, 100 to
60, 81, 100 to
60, 81, 96 to
60, 81, 87 to
60, 81, 77 to
60, 81, 66 to
60, 81, 60 to
60, 81, 57 to
60, 81, 56 to
60, 81, 56 to
60, 81, 56 to
60, 81, 56 to
60, 81, 56 to
60, 81, 56 to
60, 81, 56 to
60, 81, 55 to
60, 81, 55 to
60, 81, 55 to
60, 81, 55 to
60, 81, 55 to
60, 81, 55 to
60, 81, 55 to
60, 81, 55 to
60, 81, 55 to
60, 81, 55 to
60, 81, 55 to
60, 81, 55 to
60, 81, 55 to
60, 81, 56 to
60, 81, 58 to
60, 81, 62 to
60, 81, 67 to
60, 81, 72 to
60, 81, 76 to
60, 81, 79 to
60, 81, 79 to
60, 81, 79 to
60, 81, 79 to
60, 81, 79 to
60, 81, 79 to
60, 81, 79 to
60, 81, 79 to
60, 81, 80 to
60, 81, 80 to
60, 81, 80 to
60, 81, 80 to
60, 81, 80 to
60, 81, 80 to
60, 81, 80 to
60, 81, 80 to
60, 81, 80 to
60, 81, 80 to
60, 81, 80 to
60, 81, 80 to
60, 81, 80 to
60, 81, 80 to
60, 81, 80 to
60, 81, 80 to
60, 81, 80 to
60, 81, 80 to
60, 81, 80 to
60, 81, 80 to
60, 81, 80 to
60, 81, 80 to
60, 81, 80 to
60, 81, 80 to
60, 81, 80 to
60, 81, 80 to
60, 81, 80 to
60, 81, 80 to
60, 81, 80 to
60, 81, 80 to
60, 81, 80 to
60, 81, 80 to
60, 81, 80 to
60, 81, 80 to
60, 81, 80 to
60, 81, 80 to
60, 81, 80 to
60, 81, 80 to
60, 81, 80 to
Fri May 07 2021 17:20:34 GMT-0700 (Pacific Daylight Time)60, 41, 100 spaced
120, 41, 100 to
120, 41, 100 to
120, 41, 100 to
120, 41, 100 to
120, 41, 100 to
120, 41, 100 to
Fri May 07 2021 17:20:34 GMT-0700 (Pacific Daylight Time)120, 38, 100 spaced
180, 38, 100 to
180, 38, 100 to
180, 38, 100 to
180, 38, 100 to
180, 38, 100 to
180, 38, 100 to
180, 38, 100 to
Fri May 07 2021 17:20:34 GMT-0700 (Pacific Daylight Time)180, 38, 100 spaced
240, 38, 100 to
240, 38, 100 to
240, 38, 100 to
240, 38, 100 to
240, 38, 100 to
240, 38, 100 to
240, 38, 100 to
240, 38, 100 to
Fri May 07 2021 17:20:34 GMT-0700 (Pacific Daylight Time)240, 29, 100 spaced
300, 29, 100 to
300, 29, 100 to
300, 29, 100 to
300, 29, 100 to
300, 29, 100 to
300, 29, 100 to
Fri May 07 2021 17:20:34 GMT-0700 (Pacific Daylight Time)300, 29, 100 spaced
